"","simulation_setting_num","iter","CCCM","lower_bound","upper_bound","est_CCCM"
"1",58,1,0,-0.215218089039486,0.137349310035011,-0.0401851374312885
"2",58,2,0,-0.439923134850049,-0.00870233869645454,-0.235891496087031
"3",58,3,0,-0.250790088451614,0.161046088230208,-0.0468632971790427
"4",58,4,0,-0.163051225133556,0.163312668982982,0.000134298060238921
"5",58,5,0,-0.0616585528754033,0.263068867410298,0.1034613185847
"6",58,6,0,-0.155636535903582,0.192896182581988,0.0192135232230646
"7",58,7,0,-0.147539184035241,0.130950273660458,-0.00845846874422627
"8",58,8,0,-0.252681217112914,0.123141805754154,-0.0671512228786174
"9",58,9,0,-0.319179459678333,0.127763996800063,-0.100790181472626
"10",58,10,0,-0.152591909930105,0.203224697385428,0.0261444492983752
"11",58,11,0,-0.338439871154495,0.0631860488089771,-0.143531583300994
"12",58,12,0,-0.351633001609243,0.0589263241849671,-0.152946015576334
"13",58,13,0,-0.158657991275547,0.126101848657922,-0.0166149820368373
"14",58,14,0,-0.243012715671599,0.281935762562771,0.020902113007036
"15",58,15,0,-0.159541952467236,0.143462276746789,-0.00822872334420426
"16",58,16,0,-0.129318478028831,0.186737970814445,0.0294457140164164
"17",58,17,0,-0.298543146579897,0.133821450678873,-0.0864290500994299
"18",58,18,0,0.0010813341605922,0.344568245429058,0.178249518371799
"19",58,19,0,-0.164725967598271,0.228363341473182,0.0330986283479697
"20",58,20,0,-0.259209637045999,0.167266062593949,-0.0481668109233418
"21",58,21,0,-0.148740683747839,0.225368318317384,0.0397051943117288
"22",58,22,0,-0.223044649147611,0.156037077858189,-0.0347537969748103
"23",58,23,0,-0.182352184710672,0.269968898965391,0.0461749267663246
"24",58,24,0,-0.196588988750706,0.0773401518634688,-0.0607685387776687
"25",58,25,0,-0.185872767312355,0.121894857062979,-0.032765667698103
"26",58,26,0,-0.27971059350334,0.176215330068405,-0.054592693767448
"27",58,27,0,-0.120103015662571,0.374723558048536,0.13576720924332
"28",58,28,0,-0.063612757522776,0.278674973889299,0.11081608016149
"29",58,29,0,-0.162948208887249,0.244992919597348,0.0428064054942565
"30",58,30,0,-0.453395634510766,0.0402450624683013,-0.220659975441886
"31",58,31,0,-0.156286889196224,0.172303602898585,0.00823053780926019
"32",58,32,0,-0.163958303569921,0.2404023592033,0.0398536044349212
"33",58,33,0,-0.15623584211885,0.272374338003972,0.0608749498245071
"34",58,34,0,-0.159266240041537,0.272629495305166,0.0594640200142458
"35",58,35,0,-0.343672115842584,0.0525362359239715,-0.151653996718251
"36",58,36,0,-0.197338049498832,0.133897356551104,-0.0326159018682681
"37",58,37,0,-0.126061762729006,0.223963916224893,0.0505017533494326
"38",58,38,0,-0.0464579917965572,0.245739883168165,0.101836927582744
"39",58,39,0,-0.206441900611837,0.191510231098461,-0.007773621769868
"40",58,40,0,-0.312956295289857,0.0203781200750309,-0.150565692089868
"41",58,41,0,-0.249550907029587,0.149891324572207,-0.0519055978804565
"42",58,42,0,-0.134659050303639,0.275610095454667,0.0735882746422399
"43",58,43,0,-0.275146943238065,0.139123139692411,-0.0710762354326425
"44",58,44,0,-0.231183970523254,0.134181564800919,-0.0501799434923848
"45",58,45,0,-0.544057783045619,-0.167622996662792,-0.370981478836169
"46",58,46,0,-0.191087759693079,0.228945135273385,0.0198024396921517
"47",58,47,0,-0.301931629955865,0.0979546558052562,-0.106283992073801
"48",58,48,0,-0.234496976059021,0.174249850401215,-0.0314379221576459
"49",58,49,0,-0.175678172575671,0.146654991442809,-0.0148986620401245
"50",58,50,0,0.0110987524132359,0.301242957389136,0.159615997959024
"51",58,51,0,-0.21436919169524,0.161511499245882,-0.0273972618293189
"52",58,52,0,-0.276441302802079,0.0693635458714757,-0.10676636355387
"53",58,53,0,-0.239721356241695,0.103032077953914,-0.0704229631439671
"54",58,54,0,-0.193352838631262,0.205829692845982,0.00649726710629123
"55",58,55,0,-0.253118459311883,0.0685401674826921,-0.0947618887338647
"56",58,56,0,-0.26666307104828,0.097353060489148,-0.0875778612594914
"57",58,57,0,-0.0625507567217648,0.233931236318259,0.0876305247798694
"58",58,58,0,-0.284218055175071,0.0283011851279678,-0.131217085464596
"59",58,59,0,-0.0640912179936318,0.293742890371022,0.118677338834215
"60",58,60,0,-0.203860123845464,0.0964253391346444,-0.0549600157959998
"61",58,61,0,-0.362798209144001,0.00312955112944647,-0.186286572392779
"62",58,62,0,-0.155560116386644,0.267783701078475,0.0587529240307146
"63",58,63,0,-0.308579196244115,0.11541021505697,-0.101176408532423
"64",58,64,0,-0.237595684693707,0.197289144022885,-0.0211538777124095
"65",58,65,0,-0.428624925566528,-0.110998549270175,-0.277373456316041
"66",58,66,0,-0.199863743533554,0.108908244026722,-0.0465905961862007
