"","simulation_setting_num","iter","MCCC","lower_bound","upper_bound","est_MCCC"
"1",54,1,0.717157287525381,0.635592627692373,0.714905747968838,0.677211571299184
"2",54,2,0.717157287525381,0.650252995586575,0.703974203819604,0.678017981735913
"3",54,3,0.717157287525381,0.655947629059444,0.725635775963812,0.692403094721541
"4",54,4,0.717157287525381,0.657962387060101,0.731057497027808,0.696311007134572
"5",54,5,0.717157287525381,0.651999209380378,0.714452105910496,0.6844794092057
"6",54,6,0.717157287525381,0.673761806258558,0.745993109029951,0.711753929517342
"7",54,7,0.717157287525381,0.626233615483421,0.700029494768433,0.664750039207418
"8",54,8,0.717157287525381,0.64665013655603,0.707800605817193,0.678398569837392
"9",54,9,0.717157287525381,0.608940374159148,0.703818239513743,0.658992805670999
"10",54,10,0.717157287525381,0.665813955779453,0.729462351589455,0.699019965145244
"11",54,11,0.717157287525381,0.636469665551104,0.705001931462419,0.672173009959512
"12",54,12,0.717157287525381,0.66308175134587,0.732651165245232,0.69952014250628
"13",54,13,0.717157287525381,0.644599365600158,0.705218680817241,0.676051272451848
"14",54,14,0.717157287525381,0.624663487244158,0.698264067287166,0.663063258327896
"15",54,15,0.717157287525381,0.68101979948908,0.739242791564788,0.711349555362584
"16",54,16,0.717157287525381,0.642150590642302,0.716363781202874,0.681001935356875
"17",54,17,0.717157287525381,0.659146994066386,0.727299743261508,0.694779765760778
"18",54,18,0.717157287525381,0.660917775357793,0.729009194047652,0.696528309838269
"19",54,19,0.717157287525381,0.692731842182629,0.750778576986021,0.723028968004064
"20",54,20,0.717157287525381,0.651928371068824,0.727356716217668,0.691522873235447
"21",54,21,0.717157287525381,0.650485985885627,0.716319019187455,0.684797173051719
"22",54,22,0.717157287525381,0.59037062174359,0.669456095378601,0.6315532680451
"23",54,23,0.717157287525381,0.614805798184379,0.69354193829973,0.655954640551806
"24",54,24,0.717157287525381,0.640454098729926,0.717303735996964,0.680747639648171
"25",54,25,0.717157287525381,0.631689202302888,0.715018369833776,0.675504831157696
"26",54,26,0.717157287525381,0.673187514471869,0.72829579425763,0.701790046202693
"27",54,27,0.717157287525381,0.659495597930282,0.734273588236896,0.698788716165613
"28",54,28,0.717157287525381,0.655790824578576,0.719453625147954,0.688948687608725
"29",54,29,0.717157287525381,0.658409090068497,0.727696149242237,0.694660355023094
"30",54,30,0.717157287525381,0.613063438717271,0.701995510396026,0.659833927398824
"31",54,31,0.717157287525381,0.682100238618145,0.740718089743545,0.712650867027391
"32",54,32,0.717157287525381,0.643005694466475,0.710217192331805,0.678026207351537
"33",54,33,0.717157287525381,0.625469436671446,0.677259972598469,0.652124910032385
"34",54,34,0.717157287525381,0.660507576186921,0.729787871073529,0.696769159115996
"35",54,35,0.717157287525381,0.667905752190907,0.724076199258804,0.697058903182142
"36",54,36,0.717157287525381,0.636403561841128,0.695537048349562,0.667019457983545
"37",54,37,0.717157287525381,0.657193408207083,0.721672076261396,0.690803665743121
"38",54,38,0.717157287525381,0.639180361370367,0.697136907406117,0.66917499995248
"39",54,39,0.717157287525381,0.647334165380083,0.721489146646243,0.686190311112751
"40",54,40,0.717157287525381,0.61870567224113,0.691335332895365,0.656539614801294
"41",54,41,0.717157287525381,0.628926537535202,0.711372181931691,0.672228190638746
"42",54,42,0.717157287525381,0.658706987857665,0.711700443812709,0.686112808741176
"43",54,43,0.717157287525381,0.667027305611835,0.728271565841225,0.698928523796051
"44",54,44,0.717157287525381,0.653047685368206,0.72282341316008,0.689532199201956
"45",54,45,0.717157287525381,0.642645574878539,0.708535996111448,0.67694475256264
"46",54,46,0.717157287525381,0.671198107170737,0.730458980811741,0.702041890440009
"47",54,47,0.717157287525381,0.66508613922172,0.731823637581423,0.699979865162372
"48",54,48,0.717157287525381,0.671174061490914,0.728417074153309,0.70092253931362
"49",54,49,0.717157287525381,0.61731674419832,0.693295031154578,0.65697077231944
"50",54,50,0.717157287525381,0.622750130821291,0.703610420983093,0.665125540436881
"51",54,51,0.717157287525381,0.646493336569301,0.71809750509142,0.683939113284135
"52",54,52,0.717157287525381,0.641496006364737,0.710762761276902,0.677629466079971
"53",54,53,0.717157287525381,0.648618067613712,0.717150558317402,0.684393023293012
"54",54,54,0.717157287525381,0.646214113365259,0.712801149931356,0.680912325599715
"55",54,55,0.717157287525381,0.666018938976742,0.723645710505642,0.695951132109
"56",54,56,0.717157287525381,0.660021295547907,0.714135308983547,0.688033599499089
"57",54,57,0.717157287525381,0.686260344955375,0.75048732315976,0.719911478253898
"58",54,58,0.717157287525381,0.66207836214275,0.724149909925318,0.694403637129205
"59",54,59,0.717157287525381,0.668719741081202,0.723444754433332,0.697096150959307
"60",54,60,0.717157287525381,0.672089417039334,0.738501143115722,0.706849520370557
"61",54,61,0.717157287525381,0.641520104593435,0.711107648182101,0.677829058221041
"62",54,62,0.717157287525381,0.654686695738484,0.724125260215237,0.690996717120652
"63",54,63,0.717157287525381,0.641327084618721,0.717624395955537,0.681321985986594
"64",54,64,0.717157287525381,0.662032837524412,0.726238890546718,0.695521767293102
"65",54,65,0.717157287525381,0.662033115163885,0.71645823718965,0.690220605299079
"66",54,66,0.717157287525381,0.660575383392558,0.723567568742124,0.693393953694454
"67",54,67,0.717157287525381,0.650039942045106,0.713937962741011,0.683295067927546
"68",54,68,0.717157287525381,0.652419833238588,0.721645926293579,0.688598582197028
"69",54,69,0.717157287525381,0.623661740012852,0.699009466891342,0.663011436489067
"70",54,70,0.717157287525381,0.669308512589873,0.724574732029778,0.697979437917137
