"","simulation_setting_num","iter","MCCC","lower_bound","upper_bound","MCCC_est"
"1",21,1,8.88178419700125e-16,-0.221129549833211,0.075758509184924,-0.0743323789069712
"2",21,2,8.88178419700125e-16,-0.141208584366342,0.107976806984479,-0.0168779645674924
"3",21,3,8.88178419700125e-16,-0.215778379607881,0.0776256113167628,-0.0706033186287185
"4",21,4,8.88178419700125e-16,-0.200890599155068,0.165194272126204,-0.0184670990520728
"5",21,5,8.88178419700125e-16,-0.129045284520897,0.108288437448486,-0.0105266745093169
"6",21,6,8.88178419700125e-16,-0.193166859643012,0.0721617815128007,-0.0615905766975491
"7",21,7,8.88178419700125e-16,-0.287573474162289,0.0549357312232491,-0.119884586609246
"8",21,8,8.88178419700125e-16,-0.235214814870565,0.00258994974612558,-0.118003963030335
"9",21,9,8.88178419700125e-16,-0.164270619177747,0.0670540409025048,-0.0492689807338316
"10",21,10,8.88178419700125e-16,-0.0289714059215571,0.26034543071364,0.11819464885438
"11",21,11,8.88178419700125e-16,-0.165239252955423,0.12428598689979,-0.020915122650957
"12",21,12,8.88178419700125e-16,-0.164952739272457,0.0680534382852114,-0.049117916793735
"13",21,13,8.88178419700125e-16,-0.0511284093390895,0.238516530276073,0.0957198122292433
"14",21,14,8.88178419700125e-16,-0.173061656961229,0.0749992414172209,-0.0497991710723518
"15",21,15,8.88178419700125e-16,-0.0514722499973141,0.179961011470024,0.0651200232329974
"16",21,16,8.88178419700125e-16,-0.0836241219442265,0.231384094633691,0.0757702414195319
"17",21,17,8.88178419700125e-16,-0.188554860163984,0.0997114079026071,-0.0453660805347029
"18",21,18,8.88178419700125e-16,-0.240041885914535,0.0448620236078851,-0.0996315613789083
"19",21,19,8.88178419700125e-16,-0.161517340262857,0.0964761524844373,-0.0330715014882355
"20",21,20,8.88178419700125e-16,-0.206296269514264,0.0538754811602111,-0.0775301840391707
"21",21,21,8.88178419700125e-16,-0.0408364769109406,0.154733932347957,0.0575003492918857
"22",21,22,8.88178419700125e-16,-0.204296823183391,0.0675986075407778,-0.0696423790037928
"23",21,23,8.88178419700125e-16,-0.169535802516525,0.0522720203863623,-0.0593646069237941
"24",21,24,8.88178419700125e-16,-0.0980931981510743,0.129985896541529,0.0161565191713335
"25",21,25,8.88178419700125e-16,-0.144659940440343,0.104988421733409,-0.0201498410972141
"26",21,26,8.88178419700125e-16,-0.266382323570427,-0.00307065248790761,-0.137148470242956
"27",21,27,8.88178419700125e-16,-0.0587297466269016,0.26020243232661,0.103393247457741
"28",21,28,8.88178419700125e-16,-0.215832104946755,0.0747908285135001,-0.0720497690278963
"29",21,29,8.88178419700125e-16,-0.152430156575997,0.0789558189713167,-0.0372362538489832
"30",21,30,8.88178419700125e-16,-0.274483097359265,-0.00671523644308996,-0.14321911265867
"31",21,31,8.88178419700125e-16,-0.114015363856689,0.159764279249109,0.0233115212311913
"32",21,32,8.88178419700125e-16,-0.135553120872593,0.134436018403846,-0.000568918951426856
"33",21,33,8.88178419700125e-16,-0.175551995051964,0.086611120887684,-0.0452494986067378
"34",21,34,8.88178419700125e-16,-0.129222206977785,0.104510786907584,-0.0125268251177719
"35",21,35,8.88178419700125e-16,-0.122115157645035,0.149016448182883,0.0137025177532515
"36",21,36,8.88178419700125e-16,-0.101383286544588,0.160632860204852,0.0301425899582257
"37",21,37,8.88178419700125e-16,-0.138534538280539,0.101002424119197,-0.0190392631982117
"38",21,38,8.88178419700125e-16,-0.107423973217518,0.164624827226946,0.0291400444085546
"39",21,39,8.88178419700125e-16,-0.187051490378897,0.0512380868541141,-0.0688892134882066
"40",21,40,8.88178419700125e-16,-0.308831033027017,0.00802239201326643,-0.154370979441598
"41",21,41,8.88178419700125e-16,-0.138406138915019,0.112336268929884,-0.0132431255679475
"42",21,42,8.88178419700125e-16,-0.239079521241006,0.00428102103460833,-0.119189016893673
"43",21,43,8.88178419700125e-16,-0.144995500441768,0.0982916739863577,-0.0237028422736274
"44",21,44,8.88178419700125e-16,-0.181561322435547,0.0479307137988721,-0.067710881406237
"45",21,45,8.88178419700125e-16,-0.216497810203391,0.050200422637775,-0.0846648771019225
"46",21,46,8.88178419700125e-16,-0.256926873967843,0.00732360176502831,-0.127055389132721
"47",21,47,8.88178419700125e-16,-0.00881290035240911,0.24253996848596,0.118765790358041
"48",21,48,8.88178419700125e-16,-0.285190443056115,0.0296986041787357,-0.131049794112604
"49",21,49,8.88178419700125e-16,-0.0890466497183074,0.178909293359891,0.0457543079768384
"50",21,50,8.88178419700125e-16,-0.0978516982438794,0.169324827813036,0.03638676201215
"51",21,51,8.88178419700125e-16,-0.199932119952106,0.0413612828831555,-0.0804641444111647
"52",21,52,8.88178419700125e-16,-0.139345166423762,0.17059593148579,0.01600997216769
"53",21,53,8.88178419700125e-16,-0.155410310424739,0.144720128675848,-0.00546823681619046
"54",21,54,8.88178419700125e-16,-0.188469900656516,0.0896836898915898,-0.0503698060047897
"55",21,55,8.88178419700125e-16,-0.249458600947393,0.112506866651501,-0.0708064132308843
"56",21,56,8.88178419700125e-16,-0.154587137452895,0.129301080016287,-0.0129030433298734
"57",21,57,8.88178419700125e-16,0.00974345737462375,0.217800647293954,0.115033446999374
"58",21,58,8.88178419700125e-16,-0.124629564580084,0.135806425441028,0.00568482959202898
"59",21,59,8.88178419700125e-16,-0.147743563128633,0.0744542867494754,-0.0371032257448656
"60",21,60,8.88178419700125e-16,-0.100762543402853,0.207062425931839,0.0544433965926721
"61",21,61,8.88178419700125e-16,-0.209193871924184,0.107661339608901,-0.0520768230687656
